description;stopPlaceId;stopPlaceName;transportType;type;isMultiModal
Vestfold;NSR:StopPlace:506;Larvik;Tog;;
Vestfold;NSR:StopPlace:17990;Larvik stasjon;Buss;;
Vestfold;NSR:StopPlace:17987;Larvik sentrumsterminal;Buss;;
Vestfold;NSR:StopPlace:57957;Larvik Revet terminal;Ferje;;
Vestfold;NSR:StopPlace:62008;Larvik Revet terminal;Buss;;
Vestfold;NSR:StopPlace:17592;Rød;Buss;;
Vestfold;NSR:StopPlace:19031;Andebu sentrum;Buss;;
Vestfold;NSR:StopPlace:18789;Hvarnes kirke;Buss;;
Telemark;NSR:StopPlace:136;Skien;Tog;;
Telemark;NSR:StopPlace:19974;Skien stasjon;Buss;;
Telemark;NSR:StopPlace:19984;Skien terminal Landmannstorget;Buss;T;
Telemark;NSR:StopPlace:12;Porsgrunn;Tog;;
Telemark;NSR:StopPlace:19541;Porsgrunn stasjon;Buss;;
Telemark;NSR:StopPlace:19542;Porsgrunn terminal;Buss;;
Telemark;NSR:StopPlace:283;Notodden;Tog;;
Telemark;NSR:StopPlace:20765;Notodden stasjon;Buss;;
Telemark;NSR:StopPlace:20762;Notodden skysstasjon;Buss;;
Telemark;NSR:StopPlace:20471;Kragerø ferjekai;Ferje;;
Telemark;NSR:StopPlace:20485;Kragerø rutebilstasjon;Buss;;
Telemark;NSR:StopPlace:590;Bø;Tog;;
Telemark;NSR:StopPlace:21153;Bø stasjon;Buss;;
Telemark;NSR:StopPlace:19948;Haukeli;Buss;;
Telemark;NSR:StopPlace:58577;Tinn museum;Buss;;
Telemark;NSR:StopPlace:20885;Borgestad;Buss;;
Telemark;NSR:StopPlace:21283;Skrukkerødvegen;Buss;;
Aust-Agder;NSR:StopPlace:58089;Risør Øisangbrygga;Ferje;;
Aust-Agder;NSR:StopPlace:21829;Risør rutebilstasjon;Buss;;
Aust-Agder;NSR:StopPlace:24479;Tvedestrand rutebilstasjon;Buss;;
Aust-Agder;NSR:StopPlace:24482;Tvedestrand sentrum;Buss;;
Aust-Agder;NSR:StopPlace:380;Arendal;Tog;;
Aust-Agder;NSR:StopPlace:24632;Arendal stasjon;Buss;;
Aust-Agder;NSR:StopPlace:24627;Arendal bussterminal;Buss;T;
Aust-Agder;NSR:StopPlace:24625;Arendal Tyholmen;Båt;;
Aust-Agder;NSR:StopPlace:25611;Grimstad Odden;Buss;;
Aust-Agder;NSR:StopPlace:24786;Evje rutebilstasjon;Buss;;
Aust-Agder;NSR:StopPlace:23557;Lillesand rutebilstasjon;Buss;;
Aust-Agder;NSR:StopPlace:25380;Gaupemyr bussterminal;Buss;;
Aust-Agder;NSR:StopPlace:23374;Songe torv;Buss;;
Aust-Agder;NSR:StopPlace:24883;Birkeland Tomta;Buss;;
Aust-Agder;NSR:StopPlace:23174;Nelaug stasjon;Buss;;
Aust-Agder;NSR:StopPlace:22878;Åmli sentrum;Buss;;
Vest-Agder;NSR:StopPlace:609;Kristiansand;Tog;;
Vest-Agder;NSR:StopPlace:24252;Kristiansand rutebilstasjon;Buss;T;
