description;fromPlace;origin;toPlace;destination;transportType
Hedmark;NSR:StopPlace:583;Koppang;NSR:StopPlace:7479;Kvikne Coop-marked;Buss+Tog
Hedmark;NSR:StopPlace:8544;Åkrestrømmen;NSR:StopPlace:542;Brumunddal;Buss+Tog
Oppland;NSR:StopPlace:13675;Kolbu sentrum;NSR:StopPlace:13072;Nordlia;Buss
Oppland;NSR:StopPlace:16;Raufoss;NSR:StopPlace:10962;Jevnaker stasjon;Buss
Oppland;NSR:StopPlace:12510;Bagn;NSR:StopPlace:11881;Lom;Buss+Tog
Oppland;NSR:StopPlace:11189;Fagernes skysstasjon;NSR:StopPlace:645;Dombås;Buss+Tog
Oppland;NSR:StopPlace:14093;Steinvegen;NSR:StopPlace:14320;Holsjordet;Buss
Oppland;NSR:StopPlace:13737;Pinnikvegen;NSR:StopPlace:14488;Fredheim;Buss
Oppland;NSR:StopPlace:46;Roa;NSR:StopPlace:645;Dombås;Buss+Tog
Oppland;NSR:StopPlace:12943;Etnedal rutebilstasjon;NSR:StopPlace:19;Ringebu;Buss+Tog
Oppland;NSR:StopPlace:12813;Segalstad bru;NSR:StopPlace:11951;Beitostølen;Buss
Oppland;NSR:StopPlace:14590;Bismo;NSR:StopPlace:12192;Randsverk;Buss
Buskerud;NSR:StopPlace:16343;Slemmestad sentrum;NSR:StopPlace:15801;Rødberg;Buss+Tog
Buskerud;NSR:StopPlace:17025;Jutulveien;NSR:StopPlace:17329;Underlia snuplass;Buss
Buskerud;NSR:StopPlace:17295;Sørensvingen;NSR:StopPlace:17220;Gulskogen Senter;Buss
Buskerud;NSR:StopPlace:17095;Tranby;NSR:StopPlace:16032;Prestfoss herredshus;Buss
Buskerud;NSR:StopPlace:17381;Riegelsbakken;NSR:StopPlace:15451;Lampeland;Buss
Buskerud;NSR:StopPlace:245;Hokksund;NSR:StopPlace:15726;Fossekallveien;Buss+Tog
Buskerud;NSR:StopPlace:15534;Elsrud;NSR:StopPlace:17342;Strøtvet snuplass;Buss
Buskerud;NSR:StopPlace:318;Geilo;NSR:StopPlace:16043;Leveld posthus;Buss+Tog
Buskerud;NSR:StopPlace:15733;Hol sentrum;NSR:StopPlace:11189;Fagernes skysstasjon;Buss
Buskerud;NSR:StopPlace:16743;Lierbyen bussterminal;NSR:StopPlace:15255;Filtvet;Buss
Vestfold;NSR:StopPlace:259;Holmestrand;NSR:StopPlace:18750;Svarstad;Buss+Tog
Vestfold;NSR:StopPlace:19180;Eidsfoss;NSR:StopPlace:18964;Tjøme kommunehus;Buss
