description;fromPlace;origin;toPlace;destination;transportType;blacklistedDays;raptorRange;raptorDays;raptorProfile
Buskerud;NSR:StopPlace:15733;Hol sentrum;NSR:StopPlace:11189;Fagernes skysstasjon;Buss;2;240;2;multiCriteria
Buskerud;NSR:StopPlace:16743;Lierbyen bussterminal;NSR:StopPlace:15255;Filtvet;Buss;;240;2;multiCriteria
Vestfold;NSR:StopPlace:259;Holmestrand stasjon;NSR:StopPlace:18750;Svarstad;Buss,Tog;;240;2;multiCriteria
Vestfold;NSR:StopPlace:18729;Sundbyfoss;NSR:StopPlace:18964;Tjøme kommunehus;Buss;;240;2;multiCriteria
Vestfold;NSR:StopPlace:17452;Torggata;NSR:StopPlace:18872;Høyjord;Buss;2;240;2;multiCriteria
Vestfold;NSR:StopPlace:19031;Andebu sentrum;NSR:StopPlace:19480;Fjellvik;Buss;2;240;2;multiCriteria
Vestfold;NSR:StopPlace:17465;Ranvik;NSR:StopPlace:18990;Kamfjordkilen;Buss;;240;2;multiCriteria
Vestfold;NSR:StopPlace:17566;Trudvangveien;NSR:StopPlace:18999;Almeveien;Buss;2;240;2;multiCriteria
Vestfold;NSR:StopPlace:653;Tønsberg stasjon;NSR:StopPlace:19363;Gloppeskogen;Buss,Tog;;240;2;multiCriteria
Vestfold;NSR:StopPlace:18011;Helgeroa;NSR:StopPlace:18603;Kvelde Gylnaveien;Buss;;240;2;multiCriteria
Vestfold;NSR:StopPlace:18917;Tenvik brygge;NSR:StopPlace:18813;Ormelet;Buss;2;240;2;multiCriteria
Vestfold;NSR:StopPlace:17486;Revetal;NSR:StopPlace:17660;Gullhaug;Buss;2;240;2;multiCriteria
Telemark;NSR:StopPlace:20649;Langesund torv;NSR:StopPlace:19570;Rauland Krossen;Buss,Tog;;240;2;multiCriteria
Telemark;NSR:StopPlace:21337;Smihaugvegen;NSR:StopPlace:20826;Bjørndalen;Buss;;240;2;multiCriteria
Telemark;NSR:StopPlace:20257;Meieritorvet;NSR:StopPlace:19979;Skien sykehjem;Buss;;240;2;multiCriteria
Telemark;NSR:StopPlace:20443;Gjerpen kirke;NSR:StopPlace:1;Drangedal stasjon;Buss,Tog;;240;2;multiCriteria
Telemark;NSR:StopPlace:20259;Holtesletta;NSR:StopPlace:590;Bø stasjon;Buss,Tog;;240;2;multiCriteria
Telemark;NSR:StopPlace:21199;Ulefoss Senter;NSR:StopPlace:21570;Vrådal sentrum;Buss;;240;2;multiCriteria
Telemark;NSR:StopPlace:20557;Kviteseid sentrum;NSR:StopPlace:21388;Tinnoset;Buss;;240;2;multiCriteria
Telemark;NSR:StopPlace:20609;Austbygde;NSR:StopPlace:19570;Rauland Krossen;Buss;6;240;2;multiCriteria
Telemark;NSR:StopPlace:20550;Arabygdi;NSR:StopPlace:20485;Kragerø rutebilstasjon;Buss;6,7;240;2;multiCriteria
Telemark;NSR:StopPlace:21545;Vestheia;NSR:StopPlace:20849;Jomfruland Tårnbrygga;Buss,Båt;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:296;Gjerstad stasjon;NSR:StopPlace:25350;Buvikbakken;Buss;6,7;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:21832;Risør torv;NSR:StopPlace:22041;Valle;Buss;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:58375;Gjeving brygge;NSR:StopPlace:24632;Arendal stasjon;Buss;6,7;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:21979;Hastensund;NSR:StopPlace:24171;Kolbjørnsvik;Buss;2;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:22201;Heidalen;NSR:StopPlace:250;Nelaug stasjon;Buss,Tog;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:25611;Grimstad Odden;NSR:StopPlace:250;Nelaug stasjon;Buss,Tog;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:24891;Fevik nedre;NSR:StopPlace:24883;Birkeland Tomta;Buss;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:22997;Høvågkrysset;NSR:StopPlace:24663;Engekjerr;Buss;6,7;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:23067;Nedenes terminal;NSR:StopPlace:296;Gjerstad stasjon;Buss,Tog;;240;2;multiCriteria
Aust-Agder;NSR:StopPlace:23552;Lillesand Viadukten;NSR:StopPlace:25363;Byglandsfjord;Buss;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:25793;Sodefjed;NSR:StopPlace:24266;Tonstad sentrum;Buss,Tog;6,7;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:23237;Karuss;NSR:StopPlace:21919;Rugdeveien;Buss;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:23776;Lund Torv;NSR:StopPlace:25260;Bryggegata;Buss;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:22354;Vennesla sentrum;NSR:StopPlace:24068;Tangvall;Buss;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:23380;Spangereid;NSR:StopPlace:24221;Konsmo;Buss;6,7;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:24842;Farsund sentrum;NSR:StopPlace:177;Marnardal;Buss,Tog;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:23978;Kirkehamn;NSR:StopPlace:24600;Andabeløy;Buss,Ferje;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:25080;Flekkefjord rutebilstasjon;NSR:StopPlace:22086;Vanse rutebilgården;Buss;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:23851;Lyngdal rutebilstasjon;NSR:StopPlace:29;Gyland stasjon;Buss,Tog;;240;2;multiCriteria
Vest-Agder;NSR:StopPlace:25198;Skinsnes;NSR:StopPlace:25291;Furutoppen;Buss;2;240;2;multiCriteria
Rogaland;NSR:StopPlace:28828;Egersund rutebilstasjon;NSR:StopPlace:28401;Rekavikgata;Buss,Tog,Ferje,Båt;;240;2;multiCriteria
Rogaland;NSR:StopPlace:26062;Hauge i Dalane;NSR:StopPlace:26370;Heskestad;Buss;2;240;2;multiCriteria
Rogaland;NSR:StopPlace:28419;Bjerkreim;NSR:StopPlace:702;Sandnes Sentrum stasjon;Buss,Tog;;240;2;multiCriteria
Rogaland;NSR:StopPlace:27709;Nærbø stasjon;NSR:StopPlace:58566;Hommersåk kai;Buss,Tog;;240;2;multiCriteria
Rogaland;NSR:StopPlace:28721;Byrkjedalstunet;NSR:StopPlace:58485;Fiskepirterminalen;Buss,Tog;6,7;240;2;multiCriteria
Rogaland;NSR:StopPlace:28082;Engøy;NSR:StopPlace:26218;Sjøveien;Buss;;240;2;multiCriteria
Rogaland;NSR:StopPlace:27258;Stavanger turnhall;NSR:StopPlace:58486;Judaberg ferjekai;Buss,Båt;;240;2;multiCriteria
Rogaland;NSR:StopPlace:26469;Vikevåg kai;NSR:StopPlace:27715;Kopervik;Buss,Båt;;240;2;multiCriteria
Rogaland;NSR:StopPlace:58486;Judaberg ferjekai;NSR:StopPlace:26896;Ølensvåg;Buss,Båt;;240;2;multiCriteria
Rogaland;NSR:StopPlace:27468;Suldalsosen;NSR:StopPlace:26420;Skjoldastraumen;Buss,Ferje;6;240;2;multiCriteria
Hordaland;NSR:StopPlace:30728;Sveio sentrum;NSR:StopPlace:58476;Masfjordnes ferjekai;Buss;;240;2;multiCriteria
Hordaland;NSR:StopPlace:29253;Kåso Langevåg;NSR:StopPlace:31625;Husnes sentrum;Buss,Båt;2;240;2;multiCriteria
Hordaland;NSR:StopPlace:30975;Røldal sentrum;NSR:StopPlace:29823;Leirvik bussterminal;Buss,Båt;;240;2;multiCriteria
Hordaland;NSR:StopPlace:28911;Osøyro;NSR:StopPlace:31787;Vinje;Buss,Tog;;240;2;multiCriteria
Hordaland;NSR:StopPlace:398;Arna stasjon;NSR:StopPlace:32336;Hernar båtkai;Buss,Tog,Båt;;240;2;multiCriteria
Hordaland;NSR:StopPlace:31882;Melkeplassen;NSR:StopPlace:29147;Starefossbakken;Buss;;240;2;multiCriteria
Hordaland;NSR:StopPlace:30890;Nordnes skole;NSR:StopPlace:32416;Åsane brannstasjon;Buss;;240;2;multiCriteria
Hordaland;NSR:StopPlace:32632;Knarvik senter;NSR:StopPlace:31355;Orreflaten;Buss,Tog;2;240;2;multiCriteria
Hordaland;NSR:StopPlace:31236;Eidfjord sentrum;NSR:StopPlace:32465;Manger senter;Buss;6;240;2;multiCriteria
Hordaland;NSR:StopPlace:33482;Fedje ferjekai;NSR:StopPlace:33375;Lonevåg terminal;Ferje,Buss;2;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:222;Myrdal stasjon;NSR:StopPlace:36247;Selje;Tog,Buss,Båt;6;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:34269;Aurland;NSR:StopPlace:36166;Skjolden;Båt,Buss;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:34505;Lærdal rådhus;NSR:StopPlace:58337;Ortnevik kai;Buss,Båt;6;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:34066;Helgheim;NSR:StopPlace:37210;Vik kommunehus;Buss,Ferje;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:58331;Daløy ferjekai;NSR:StopPlace:35790;Flekke;Buss,Ferje;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:37390;Eivindvik;NSR:StopPlace:35428;Gjervik;Buss,Båt,Ferje;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:36025;Førde rutebilstasjon;NSR:StopPlace:37075;Rognaldsvåg kai;Buss,Båt;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:34300;Naustdal;NSR:StopPlace:34730;Bremanger rutebilstasjon;Buss,Båt,Ferje;;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:35968;Raudeberg;NSR:StopPlace:35579;Skei;Buss;6,7;240;2;multiCriteria
Sogn og Fjordane;NSR:StopPlace:35019;Loen;NSR:StopPlace:34301;Heimset bru;Buss;6,7;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:38744;Åheim;NSR:StopPlace:41473;Edøy hurtigbåtkai;Buss,Båt;6;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:58533;Volda ferjekai;NSR:StopPlace:39992;Stranda kai;Buss;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:37654;Valldal sentrum;NSR:StopPlace:37578;Roth;Buss;2;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:39231;Fosnavåg terminal;NSR:StopPlace:40724;Skarbøvika;Buss,Ferje;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:41499;Slinningsodden;NSR:StopPlace:40181;Kråmyra;Buss;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:39124;Søvik;NSR:StopPlace:41105;Ona ferjekai;Buss,Ferje;6,7;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:39625;Marstein;NSR:StopPlace:41140;Bud;Buss;6,7;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:40451;Aukrasenteret;NSR:StopPlace:40131;Sunndalsøra;Buss,Ferje;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:41497;Rindal rådhus;NSR:StopPlace:41109;Brunsvika;Buss;;240;2;multiCriteria
Møre og Romsdal;NSR:StopPlace:40313;Greves plass;NSR:StopPlace:37685;Valsøya;Buss,Ferje;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:53;Røros stasjon;NSR:StopPlace:43629;Osen;Buss,Tog,Ferje;6;240;2;multiCriteria
Trøndelag;NSR:StopPlace:43885;Brekken Coop;NSR:StopPlace:43075;Soknedal;Buss,Tog;1,2,6,7;240;2;multiCriteria
Trøndelag;NSR:StopPlace:42516;Meldal sentrum;NSR:StopPlace:43785;Fillan busstasjon;Buss;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:42655;Kyrksæterøra;NSR:StopPlace:42004;Valentinlyst;Buss;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:43948;Bukkvollan;NSR:StopPlace:42676;Lade gård;Buss;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:42971;Møllebakken;NSR:StopPlace:42462;Ås i Tydal;Buss;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:58932;Hommelvik stasjon;NSR:StopPlace:42045;Hølonda samvirkelag;Buss,Tog;6,7;240;2;multiCriteria
Trøndelag;NSR:StopPlace:42707;Støren stasjon;NSR:StopPlace:42220;Skiftkroken;Buss,Tog,Ferje;6;240;2;multiCriteria
Trøndelag;NSR:StopPlace:43530;Dyrøy skole;NSR:StopPlace:41738;Rissa;Buss,Båt,Ferje;6;240;2;multiCriteria
Trøndelag;NSR:StopPlace:43583;Orkanger skysstasjon;NSR:StopPlace:41712;Revsnes;Buss,Ferje;6,7;240;2;multiCriteria
Trøndelag;NSR:StopPlace:44777;Meådal;NSR:StopPlace:45002;Gjeving;Buss,Tog;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:554;Åsen;NSR:StopPlace:45190;Elberg;Buss,Tog;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:45448;Stiklestad nasjonale kultursenter;NSR:StopPlace:44802;Vanvikan;Buss;;240;2;multiCriteria
Trøndelag;NSR:StopPlace:46078;Ryumsjøen;NSR:StopPlace:275;Namsskogan;Buss,Tog;;240;2;multiCriteria
Nordland;NSR:StopPlace:46978;Hattfjelldal;NSR:StopPlace:49151;Andenes;Buss,Tog;;240;2;multiCriteria
Nordland;NSR:StopPlace:47325;Trofors stasjon;NSR:StopPlace:51060;Gladstad;Buss,Tog,Båt;6,7;240;2;multiCriteria
Nordland;NSR:StopPlace:51884;Silvalen sentrum;NSR:StopPlace:58971;Mosjøen stasjon;Buss,Båt,Ferje;2;240;2;multiCriteria
Nordland;NSR:StopPlace:51660;Kirkelia;NSR:StopPlace:51258;Segelbergan;Buss;;240;2;multiCriteria
Nordland;NSR:StopPlace:48268;Talvikparken;NSR:StopPlace:47923;Lovund hurtigbåtkai;Buss,Båt,Ferje;;240;2;multiCriteria
Nordland;NSR:StopPlace:58953;Dunderland stasjon;NSR:StopPlace:49116;Ørnes kai;Buss,Tog,Ferje,Båt;6;240;2;multiCriteria
Nordland;NSR:StopPlace:51012;Aspåsen;NSR:StopPlace:49992;Vollen sykehjem;Buss;;240;2;multiCriteria
Nordland;NSR:StopPlace:50458;Jordbruksveien;NSR:StopPlace:50327;Reine;Buss,Ferje;;240;2;multiCriteria
Nordland;NSR:StopPlace:49892;Leines;NSR:StopPlace:48991;Ballangen;Buss,Ferje;6,7;240;2;multiCriteria
Nordland;NSR:StopPlace:51878;Ankenestorg;NSR:StopPlace:48592;Digermulen ferjekai;Buss,Ferje;1,3,6,7;240;2;multiCriteria
Troms;NSR:StopPlace:55246;Evenskjer;NSR:StopPlace:56259;Burfjord;Buss;6,7;240;2;multiCriteria
Troms;NSR:StopPlace:55941;Borkenes;NSR:StopPlace:58547;Sandsøy ferjekai;Buss,Ferje;;240;2;multiCriteria
Troms;NSR:StopPlace:52154;Harstad kirke;NSR:StopPlace:53953;Lamoveien;Buss;;240;2;multiCriteria
Troms;NSR:StopPlace:52774;Sara Hauges vei;NSR:StopPlace:51957;Tennevoll;Buss;6,7;240;2;multiCriteria
Troms;NSR:StopPlace:53010;Setermoen;NSR:StopPlace:55957;Botnhamn;Buss;6;240;2;multiCriteria
Troms;NSR:StopPlace:55017;Sørreisa sentralskole;NSR:StopPlace:70261;Vengsøy ferjekai;Buss,Ferje;2,6,7;240;2;multiCriteria
Troms;NSR:StopPlace:54821;Mortenhals;NSR:StopPlace:55230;Ankervegen;Buss;4,6;240;2;multiCriteria
Troms;NSR:StopPlace:53331;Skattøra Borettslag;NSR:StopPlace:54103;Stalheim;Buss;;240;2;multiCriteria
Troms;NSR:StopPlace:56531;Oldervik;NSR:StopPlace:53633;Skjervøy skole;Buss,Båt;2;240;2;multiCriteria
Troms;NSR:StopPlace:54474;Storslett terminal;NSR:StopPlace:55268;Arnøyhamn;Buss,Båt,Fly;6,7;240;2;multiCriteria
Finnmark;NSR:StopPlace:57164;Øksfjord hurtigbåtkai;NSR:StopPlace:56953;Svanvik;Buss;;240;2;multiCriteria
Finnmark;NSR:StopPlace:56973;Langfjordbotn;NSR:StopPlace:57009;Suolovuopmi fjellstue;Buss;1,6,7;240;2;multiCriteria
Finnmark;NSR:StopPlace:56833;Bossekop;NSR:StopPlace:57291;Sætergamveien;Buss;6;240;2;multiCriteria
Finnmark;NSR:StopPlace:57228;Rypefjord;NSR:StopPlace:57336;Gunnarnes kai;Buss,Båt;1,6;240;2;multiCriteria
Finnmark;NSR:StopPlace:57352;Storgata;NSR:StopPlace:57065;Kviby kryss;Buss;6;240;2;multiCriteria
Finnmark;NSR:StopPlace:57518;Indre Billefjord;NSR:StopPlace:56754;Karasjok bussterminal;Buss;6;240;2;multiCriteria
Finnmark;NSR:StopPlace:56774;Suossjávri;NSR:StopPlace:56737;Jávrrásmuotkkegárggu;Buss;6;240;2;multiCriteria
Finnmark;NSR:StopPlace:57345;Sirma;NSR:StopPlace:56791;Kjøllefjord sentrum;Buss;6,7;240;2;multiCriteria
Finnmark;NSR:StopPlace:56838;Berlevåg;NSR:StopPlace:56832;Skjånes kai;Buss,Båt;2,4,6,7;240;2;multiCriteria
Finnmark;NSR:StopPlace:57095;Vardø rådhus;NSR:StopPlace:56925;Elvenes;Buss;6;240;2;multiCriteria
Tog;NSR:StopPlace:58798;Rakkestad stasjon;NSR:StopPlace:58801;Sarpsborg stasjon;Tog;6,7;240;2;multiCriteria
Tog;NSR:StopPlace:192;Halden stasjon;NSR:StopPlace:58886;Arendal stasjon;Tog;;240;2;multiCriteria
Tog;NSR:StopPlace:58872;Sandefjord stasjon;NSR:StopPlace:609;Kristiansand stasjon;Tog;;240;2;multiCriteria
Tog;NSR:StopPlace:206;Mariero stasjon;NSR:StopPlace:58920;Snartemo stasjon;Tog;;240;2;multiCriteria
Tog;NSR:StopPlace:548;Bergen stasjon;NSR:StopPlace:58841;Ål stasjon;Tog;;240;2;multiCriteria
Tog;NSR:StopPlace:295;Hvalstad stasjon;NSR:StopPlace:635;Kongsvinger stasjon;Tog;;240;2;multiCriteria
